Study_File,Participant_ID,Age,Gender,Grade,Testing_Channel
study1_memory_data.csv,1,20,Female,Year 1,Online/network test
study1_memory_data.csv,2,19,Male,Year 2,Online/network test
study1_memory_data.csv,3,46,Male,Resident,Campus resident session
study1_memory_data.csv,4,21,Male,Year 1,Campus session
study1_memory_data.csv,5,21,Female,Year 3,Online/network test
study1_memory_data.csv,6,22,Female,Year 3,Online/network test
study1_memory_data.csv,7,40,Female,Resident,Campus resident session
study1_memory_data.csv,8,19,Male,Year 3,Online/network test
study1_memory_data.csv,9,21,Male,Year 2,Online/network test
study1_memory_data.csv,10,21,Male,Year 1,Online/network test
study1_memory_data.csv,11,20,Female,Year 3,Campus session
study1_memory_data.csv,12,19,Male,Year 1,Campus session
study1_memory_data.csv,13,19,Female,Year 3,Campus session
study1_memory_data.csv,14,21,Male,Year 2,Campus session
study1_memory_data.csv,15,20,Male,Year 3,Campus session
study1_memory_data.csv,16,19,Female,Year 1,Online/network test
study1_memory_data.csv,17,21,Male,Year 1,Online/network test
study1_memory_data.csv,18,21,Male,Year 2,Campus session
study1_memory_data.csv,19,47,Female,Resident,Campus resident session
study1_memory_data.csv,20,20,Male,Year 3,Online/network test
study1_memory_data.csv,21,18,Male,Year 1,Campus session
study1_memory_data.csv,22,21,Female,Year 2,Campus session
study1_memory_data.csv,23,19,Male,Year 1,Online/network test
study1_memory_data.csv,24,54,Female,Resident,Campus resident session
study1_memory_data.csv,25,40,Female,Resident,Campus resident session
study1_memory_data.csv,26,21,Female,Year 1,Campus session
study1_memory_data.csv,27,20,Male,Year 3,Campus session
study1_memory_data.csv,28,19,Male,Year 2,Campus session
study1_memory_data.csv,29,19,Female,Year 3,Online/network test
study1_memory_data.csv,30,40,Female,Resident,Campus resident session
study1_memory_data.csv,31,21,Female,Year 2,Campus session
study1_memory_data.csv,32,21,Male,Year 2,Online/network test
study1_memory_data.csv,33,20,Female,Year 3,Campus session
study1_memory_data.csv,34,21,Female,Year 3,Campus session
study1_memory_data.csv,35,56,Female,Resident,Campus resident session
study1_memory_data.csv,36,48,Female,Resident,Campus resident session
study1_memory_data.csv,37,38,Female,Resident,Campus resident session
study1_memory_data.csv,38,46,Female,Resident,Campus resident session
study1_memory_data.csv,39,20,Female,Year 1,Campus session
study1_memory_data.csv,40,19,Female,Year 1,Campus session
study1_memory_data.csv,41,23,Female,Year 1,Online/network test
study1_memory_data.csv,42,19,Female,Year 1,Campus session
study1_memory_data.csv,43,21,Female,Year 3,Campus session
