Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Memory_Code,MBF,Trust_Item1,Trust_Item2,Trust_Item3,Purchase_Item1,Purchase_Item2,Purchase_Item3,Continue_Item1,Continue_Item2,Continue_Item3
1,20,Female,Year 1,Online/network test,Intrusive Memory,1,4.333,4,3,3,4,3,4,4,5,5
2,19,Male,Year 2,Online/network test,Intrusive Memory,1,3.667,4,4,3,5,5,5,5,5,4
3,46,Male,Resident,Campus resident session,Intrusive Memory,1,4.0,4,4,5,3,4,3,6,7,6
4,21,Male,Year 1,Campus session,Intrusive Memory,1,4.0,4,6,4,2,3,3,3,4,3
5,21,Female,Year 3,Online/network test,Intrusive Memory,1,3.0,4,5,5,4,5,5,2,3,2
6,22,Female,Year 3,Online/network test,Intrusive Memory,1,5.333,5,4,4,5,5,5,6,6,6
7,40,Female,Resident,Campus resident session,Intrusive Memory,1,5.0,3,3,4,6,7,7,4,4,3
8,19,Male,Year 3,Online/network test,Intrusive Memory,1,2.0,3,2,3,4,4,5,5,5,5
9,21,Male,Year 2,Online/network test,Intrusive Memory,1,2.667,4,4,3,6,6,6,4,4,4
10,21,Male,Year 1,Online/network test,Intrusive Memory,1,1.667,4,4,4,6,5,5,3,3,3
11,20,Female,Year 3,Campus session,Intrusive Memory,1,4.667,5,3,4,5,6,5,4,5,5
12,19,Male,Year 1,Campus session,Intrusive Memory,1,4.333,5,4,3,3,2,2,4,5,3
13,19,Female,Year 3,Campus session,Intrusive Memory,1,4.0,6,6,4,5,5,5,4,4,5
14,21,Male,Year 2,Campus session,Intrusive Memory,1,2.667,4,5,5,5,5,4,5,4,5
15,20,Male,Year 3,Campus session,Intrusive Memory,1,2.0,4,4,4,3,4,5,5,5,4
16,19,Female,Year 1,Online/network test,Intrusive Memory,1,3.333,4,3,2,3,2,4,6,6,6
17,21,Male,Year 1,Online/network test,Intrusive Memory,1,2.0,5,6,6,5,4,4,6,6,6
18,21,Male,Year 2,Campus session,Intrusive Memory,1,1.667,3,4,3,4,5,6,4,4,4
19,47,Female,Resident,Campus resident session,Intrusive Memory,1,3.667,5,6,6,4,4,5,5,5,5
20,20,Male,Year 3,Online/network test,Intrusive Memory,1,3.667,1,3,3,5,4,5,4,4,4
