Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Memory_Code,MBF,Relational_Warmth,Surveillance_Concern,Trust_Item1,Trust_Item2,Trust_Item3
1,22,Male,Year 3,Campus session,Intrusive Memory,1,2.667,4.667,6.0,5,4,5
2,21,Male,Year 2,Campus session,Intrusive Memory,1,3.0,3.0,4.667,2,3,3
3,20,Male,Year 3,Online/network test,Intrusive Memory,1,1.0,2.667,4.667,3,3,3
4,20,Male,Year 2,Online/network test,Intrusive Memory,1,4.667,3.333,3.0,5,3,4
5,23,Female,Year 3,Campus session,Intrusive Memory,1,1.0,2.667,5.0,2,2,3
6,39,Male,Resident,Campus resident session,Intrusive Memory,1,2.0,3.333,4.0,3,3,3
7,20,Female,Year 3,Online/network test,Intrusive Memory,1,4.333,5.333,5.0,4,5,5
8,23,Female,Year 3,Campus session,Intrusive Memory,1,1.667,3.333,5.0,4,3,4
9,20,Male,Year 1,Campus session,Intrusive Memory,1,2.333,3.0,2.0,4,4,4
10,21,Female,Year 1,Campus session,Intrusive Memory,1,2.0,3.333,5.333,4,3,4
11,19,Male,Year 2,Campus session,Intrusive Memory,1,3.0,2.667,5.0,3,3,3
12,21,Male,Year 2,Online/network test,Intrusive Memory,1,5.333,5.667,3.0,4,4,5
13,44,Male,Resident,Campus resident session,Intrusive Memory,1,3.0,3.667,5.667,3,3,3
14,18,Female,Year 2,Campus session,Intrusive Memory,1,1.667,4.0,4.333,3,2,2
15,19,Female,Year 2,Online/network test,Intrusive Memory,1,3.333,4.0,4.333,4,4,4
16,19,Female,Year 1,Campus session,Intrusive Memory,1,2.333,3.0,1.667,2,2,2
17,19,Male,Year 2,Online/network test,Intrusive Memory,1,2.667,3.667,3.333,4,4,4
18,49,Female,Resident,Campus resident session,Intrusive Memory,1,3.667,3.667,2.333,3,4,4
19,19,Male,Year 1,Online/network test,Intrusive Memory,1,2.667,1.0,4.333,4,6,4
20,19,Female,Year 2,Online/network test,Intrusive Memory,1,2.333,2.333,4.0,3,4,3
21,21,Female,Year 2,Online/network test,Intrusive Memory,1,2.333,3.333,5.333,4,5,4
22,20,Female,Year 2,Campus session,Intrusive Memory,1,2.667,3.333,5.333,5,5,5
23,20,Male,Year 3,Campus session,Intrusive Memory,1,3.0,4.333,3.667,5,5,4
24,38,Female,Resident,Campus resident session,Intrusive Memory,1,1.667,4.333,4.0,4,3,4
25,19,Female,Year 3,Campus session,Intrusive Memory,1,2.667,4.0,3.333,2,2,2
