Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Sensitivity,Trust_Item1,Trust_Item2,Trust_Item3
1,21,Male,Year 3,Campus session,Intrusive Memory,Low Sensitivity,5,4,5
2,37,Female,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,2,4,3
3,19,Male,Year 1,Campus session,Intrusive Memory,Low Sensitivity,6,5,5
4,19,Male,Year 1,Campus session,Intrusive Memory,Low Sensitivity,3,5,5
5,19,Male,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,5,3,5
6,22,Male,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,3,3,3
7,21,Female,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,5,5,6
8,19,Male,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,3,4,3
9,18,Female,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,5,3,4
10,20,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,4,5,3
11,21,Male,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,3,4,4
12,22,Female,Year 3,Online/network test,Intrusive Memory,Low Sensitivity,3,5,4
13,42,Male,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,5,5,4
14,22,Male,Year 3,Online/network test,Intrusive Memory,Low Sensitivity,4,4,5
15,23,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,4,3,2
16,38,Male,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,6,7,4
17,22,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,5,5,5
18,19,Female,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,7,5,6
19,20,Female,Year 1,Campus session,Intrusive Memory,Low Sensitivity,6,5,5
20,22,Male,Year 2,Campus session,Intrusive Memory,Low Sensitivity,2,2,2
21,18,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,7,7,6
22,19,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,3,4,2
23,27,Female,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,3,5,3
24,22,Female,Year 3,Online/network test,Intrusive Memory,Low Sensitivity,5,5,4
25,21,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,6,5,5
26,20,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,6,4,6
27,21,Male,Year 1,Campus session,Intrusive Memory,Low Sensitivity,5,6,5
28,20,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,4,4,4
29,21,Male,Year 3,Online/network test,Intrusive Memory,Low Sensitivity,3,2,2
30,20,Female,Year 3,Online/network test,Intrusive Memory,Low Sensitivity,5,4,5
31,19,Male,Year 2,Campus session,Intrusive Memory,Low Sensitivity,7,6,7
32,20,Female,Year 3,Online/network test,Intrusive Memory,Low Sensitivity,2,3,2
33,42,Female,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,4,4,5
34,20,Male,Year 1,Campus session,Intrusive Memory,Low Sensitivity,5,5,5
35,20,Male,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,3,4,3
36,19,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,4,4,4
37,33,Female,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,3,3,4
38,19,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,4,2,3
39,18,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,3,4,4
40,19,Male,Year 2,Campus session,Intrusive Memory,Low Sensitivity,3,4,3
41,19,Male,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,5,6,4
42,20,Male,Year 1,Campus session,Intrusive Memory,Low Sensitivity,3,2,3
43,18,Female,Year 1,Campus session,Intrusive Memory,Low Sensitivity,3,4,4
44,19,Female,Year 3,Campus session,Intrusive Memory,Low Sensitivity,5,7,6
45,21,Female,Year 3,Campus session,Intrusive Memory,Low Sensitivity,3,4,5
46,19,Male,Year 1,Campus session,Intrusive Memory,Low Sensitivity,4,4,4
47,19,Male,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,3,2,3
48,21,Female,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,5,5,4
49,19,Male,Year 1,Online/network test,Intrusive Memory,Low Sensitivity,3,4,3
50,18,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,4,4,3
51,21,Male,Year 1,Campus session,Intrusive Memory,Low Sensitivity,5,4,4
52,21,Male,Year 3,Online/network test,Intrusive Memory,Low Sensitivity,5,4,5
53,45,Female,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,4,3,4
54,21,Male,Year 3,Campus session,Intrusive Memory,Low Sensitivity,6,5,4
55,18,Male,Year 2,Campus session,Intrusive Memory,Low Sensitivity,5,3,5
56,19,Female,Year 1,Campus session,Intrusive Memory,Low Sensitivity,3,5,4
57,20,Male,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,3,3,3
58,20,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,4,4,5
59,19,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,3,3,2
60,23,Male,Year 2,Campus session,Intrusive Memory,Low Sensitivity,6,4,5
61,34,Male,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,5,4,5
62,20,Female,Year 3,Campus session,Intrusive Memory,Low Sensitivity,2,3,3
63,54,Male,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,4,5,4
64,22,Female,Year 3,Campus session,Intrusive Memory,Low Sensitivity,7,7,7
65,20,Female,Year 2,Online/network test,Intrusive Memory,Low Sensitivity,2,1,1
66,21,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,4,4,4
67,36,Female,Resident,Campus resident session,Intrusive Memory,Low Sensitivity,5,4,4
68,21,Female,Year 2,Campus session,Intrusive Memory,Low Sensitivity,5,4,4
69,19,Female,Year 3,Online/network test,No Memory,Low Sensitivity,5,5,4
70,18,Female,Year 1,Campus session,No Memory,Low Sensitivity,5,5,6
71,19,Male,Year 3,Online/network test,No Memory,Low Sensitivity,3,5,4
72,21,Male,Year 2,Online/network test,No Memory,Low Sensitivity,5,3,5
73,22,Male,Year 2,Online/network test,No Memory,Low Sensitivity,4,2,4
74,39,Female,Resident,Campus resident session,No Memory,Low Sensitivity,6,5,5
75,20,Male,Year 2,Campus session,No Memory,Low Sensitivity,7,5,5
76,20,Female,Year 2,Online/network test,No Memory,Low Sensitivity,4,5,6
77,21,Male,Year 1,Campus session,No Memory,Low Sensitivity,6,6,5
78,22,Female,Year 3,Campus session,No Memory,Low Sensitivity,4,4,5
