Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,MBF,Trans_Item1,Trans_Item2,Trans_Item3,DataShare_Item1,DataShare_Item2,DataShare_Item3,Rel_Item1,Rel_Item2,Rel_Item3
1,20,Male,Year 2,Online/network test,Intrusive Memory,4,4,4,5,4,3,3,2,2,2
2,36,Female,Resident,Campus resident session,Intrusive Memory,3.667,3,1,2,5,6,6,3,3,3
3,22,Female,Year 3,Campus session,Intrusive Memory,3,3,5,4,6,6,6,1,2,2
4,19,Female,Year 1,Campus session,Intrusive Memory,2.667,4,5,4,5,5,5,3,3,2
5,21,Female,Year 3,Online/network test,Intrusive Memory,3,3,4,4,3,4,4,4,5,4
6,20,Female,Year 2,Online/network test,Intrusive Memory,2,5,6,5,5,3,5,4,5,4
7,54,Female,Resident,Campus resident session,Intrusive Memory,3.667,4,5,3,4,3,3,4,3,2
8,41,Female,Resident,Campus resident session,Intrusive Memory,3,4,6,5,4,4,3,3,4,4
9,20,Female,Year 1,Campus session,Intrusive Memory,3,5,4,4,3,3,4,4,4,3
10,21,Female,Year 3,Online/network test,Intrusive Memory,2.333,6,4,4,5,4,5,5,4,4
11,19,Prefer not to say,Year 3,Campus session,Intrusive Memory,3,4,4,4,3,2,4,6,6,5
12,20,Female,Year 3,Campus session,Intrusive Memory,3,4,4,4,3,5,4,6,6,6
13,18,Male,Year 3,Online/network test,Intrusive Memory,2.667,4,5,5,4,3,5,4,4,4
14,23,Male,Year 3,Campus session,Intrusive Memory,2.667,6,3,5,4,4,4,5,4,3
15,21,Male,Year 3,Campus session,Intrusive Memory,4,5,5,5,5,3,6,6,4,4
16,18,Female,Year 1,Online/network test,Intrusive Memory,2.333,6,6,7,4,5,5,4,4,4
17,21,Female,Year 2,Campus session,Intrusive Memory,4.333,5,5,4,5,5,5,6,7,5
18,21,Female,Year 1,Campus session,Intrusive Memory,5.333,3,4,4,2,3,2,4,4,4
19,23,Female,Year 1,Campus session,Intrusive Memory,4,5,4,5,4,4,4,3,3,2
20,22,Female,Year 2,Online/network test,Intrusive Memory,2.667,5,5,6,5,4,3,5,6,5
21,18,Female,Year 2,Campus session,Intrusive Memory,2.333,4,4,4,4,4,4,5,4,4
22,52,Female,Resident,Campus resident session,Intrusive Memory,3.333,5,5,6,4,2,3,4,5,5
23,21,Female,Year 1,Campus session,Intrusive Memory,3.667,6,6,5,4,5,6,5,4,3
24,21,Male,Year 2,Online/network test,Intrusive Memory,3,4,4,4,5,4,4,3,4,4
25,20,Female,Year 3,Online/network test,Intrusive Memory,3,5,5,4,2,3,3,5,5,5
26,20,Male,Year 3,Campus session,Intrusive Memory,2.333,6,6,6,4,4,4,5,4,5
27,43,Female,Resident,Campus resident session,Intrusive Memory,1.333,5,5,4,5,5,4,2,3,3
28,19,Female,Year 1,Online/network test,Intrusive Memory,2,6,5,4,3,3,2,4,5,4
29,21,Male,Year 3,Online/network test,Intrusive Memory,4,3,4,2,5,4,5,3,3,3
30,20,Female,Year 3,Campus session,Intrusive Memory,3,3,4,3,5,4,5,5,5,5
31,21,Male,Year 1,Online/network test,Intrusive Memory,3,3,3,4,5,6,4,6,5,6
32,19,Female,Year 1,Online/network test,Intrusive Memory,1.333,5,5,5,5,6,5,4,4,4
33,20,Female,Year 2,Online/network test,Intrusive Memory,2.333,6,6,5,4,4,4,2,3,4
34,19,Male,Year 3,Campus session,Intrusive Memory,1.333,6,5,5,5,5,4,3,3,3
35,21,Male,Year 3,Online/network test,Intrusive Memory,3,4,4,3,5,4,6,3,4,4
36,58,Female,Resident,Campus resident session,Intrusive Memory,4,4,5,4,4,5,4,5,4,5
37,22,Male,Year 2,Campus session,Intrusive Memory,3.667,5,3,5,3,3,3,4,5,4
38,21,Male,Year 3,Campus session,Intrusive Memory,3,4,6,5,4,3,3,2,1,3
39,18,Female,Year 1,Campus session,Intrusive Memory,4,7,6,7,5,4,5,3,5,4
40,56,Male,Resident,Campus resident session,Intrusive Memory,3.333,5,4,5,3,4,3,3,4,3
41,20,Female,Year 1,Online/network test,Intrusive Memory,3.333,4,4,3,4,4,4,5,5,4
42,20,Female,Year 1,Online/network test,Intrusive Memory,3.333,3,4,4,4,5,5,4,4,4
43,18,Female,Year 2,Online/network test,Intrusive Memory,5.333,1,3,3,3,2,2,5,5,5
44,18,Male,Year 3,Campus session,Intrusive Memory,6,4,5,4,4,4,4,5,4,4
45,22,Female,Year 2,Online/network test,Intrusive Memory,4.333,4,4,4,5,5,5,4,4,4
46,21,Prefer not to say,Year 1,Campus session,Intrusive Memory,2.333,5,4,5,5,4,4,6,5,6
47,40,Female,Resident,Campus resident session,Intrusive Memory,2.667,3,4,4,5,3,4,4,5,3
48,49,Female,Resident,Campus resident session,Intrusive Memory,2.667,4,5,4,5,5,5,5,4,5
49,24,Female,Year 2,Online/network test,Intrusive Memory,5.333,5,6,6,4,6,5,2,2,2
50,20,Male,Year 2,Online/network test,Intrusive Memory,2.667,5,4,4,5,5,6,6,5,5
51,20,Male,Year 2,Campus session,Intrusive Memory,3,6,6,4,4,3,4,6,7,6
