Participant_ID,Age,Gender,Grade,Testing_Channel,Memory_Type,Memory_Code,MBF,PrivacyTrust_Item1,PrivacyTrust_Item2,PrivacyTrust_Item3,Loyalty_Item1,Loyalty_Item2,Loyalty_Item3,OptIn_Item1,OptIn_Item2,OptIn_Item3,PlatformTrust_Item1,PlatformTrust_Item2,PlatformTrust_Item3
1,18,Male,Year 1,Online/network test,Intrusive Memory,1,4.667,4,5,4,7,5,5,4,3,3,5,5,4
2,53,Female,Resident,Campus resident session,Intrusive Memory,1,2.667,5,5,5,5,5,6,3,3,3,3,3,3
3,19,Female,Year 1,Campus session,Intrusive Memory,1,4.0,3,5,4,5,3,5,5,6,6,5,5,4
4,42,Male,Resident,Campus resident session,Intrusive Memory,1,5.667,5,5,6,4,5,5,6,5,5,6,6,6
5,34,Male,Resident,Campus resident session,Intrusive Memory,1,4.667,3,3,3,3,4,4,1,3,2,5,3,4
6,20,Female,Year 3,Online/network test,Intrusive Memory,1,2.667,3,3,3,2,2,2,2,3,2,5,5,5
7,53,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,3,3,4,3,4,3,5,4,5,4,4,4
8,18,Female,Year 2,Online/network test,Intrusive Memory,1,2.333,4,3,4,4,3,4,4,4,4,4,4,3
9,20,Female,Year 1,Online/network test,Intrusive Memory,1,2.333,4,3,5,4,4,6,5,6,6,2,2,2
10,46,Female,Resident,Campus resident session,Intrusive Memory,1,4.0,4,5,4,5,4,3,5,5,6,2,2,2
11,35,Female,Resident,Campus resident session,Intrusive Memory,1,2.667,4,4,4,4,3,4,2,5,3,5,4,5
12,20,Female,Year 3,Online/network test,Intrusive Memory,1,4.333,6,6,6,5,6,5,4,5,5,2,3,4
13,20,Male,Year 2,Online/network test,Intrusive Memory,1,3.667,4,5,4,5,5,4,4,5,3,4,3,2
14,41,Female,Resident,Campus resident session,Intrusive Memory,1,3.0,5,5,4,5,4,4,6,5,5,5,3,3
15,35,Male,Resident,Campus resident session,Intrusive Memory,1,3.0,3,4,5,5,5,5,4,4,4,3,2,2
16,21,Female,Year 3,Campus session,Intrusive Memory,1,3.0,3,4,5,6,5,5,3,5,5,4,4,3
